cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
586.4,1.9,6.8,175.2,3.2,1123.7,763.0,41.6,79.99
364.6,153.2,12.9,244.3,1.7,1016.4,685.9,368.5,41.05
236.8,143.1,11.8,206.8,0.6,1084.5,904.6,372.3,44.3
317.4,141.4,4.3,245.3,0.0,1028.0,751.6,105.2,47.03
427.5,114.9,-5.4,245.3,-0.5,1040.3,685.4,368.0,43.7
397.7,98.3,10.7,244.7,0.2,1034.1,675.4,30.9,36.45
512.9,10.6,0.1,247.8,-0.4,1028.7,680.8,33.2,39.29
224.9,149.0,-0.7,208.2,1.1,1075.8,908.6,94.3,38.07
225.5,140.4,12.9,211.5,1.1,1071.3,913.5,16.1,28.02
459.7,54.7,-0.4,249.6,0.1,1029.9,673.8,268.7,43.01
219.4,198.2,14.5,246.4,1.0,1028.7,749.7,96.3,42.33
423.2,15.4,7.6,244.3,0.3,1035.7,752.3,96.4,52.91
175.5,209.70000000000002,7.5,207.5,0.6,1142.9,873.3,96.2,39.36
371.2,42.9,7.4,244.6,0.9,1035.6,740.2,367.7,56.14
412.6,106.9,-5.1,247.6,0.4,1036.3,682.4,82.0,40.56
506.4,10.5,-6.0,246.5,0.9,1030.6,682.8,185.3,42.62
471.1,57.4,6.8,248.1,-0.4,1019.0,674.8,185.9,41.84
165.4,213.9,9.1,211.8,0.7,1142.9,876.5,27.0,28.24
170.79999999999998,225.8,6.0,210.4,0.6,1129.4,894.0,9.8,8.06
158.6,236.0,0.2,211.2,-0.6,1134.8,884.9,186.2,44.21
381.2,11.4,5.6,250.1,-0.4,1034.9,737.8,366.2,52.52
414.8,6.1,4.9,249.2,-0.5,1033.0,752.3,273.8,53.3
417.0,109.4,-0.7,245.5,0.9,1029.2,678.6,279.8,41.15
447.7,50.5,12.0,248.3,0.7,1026.8,678.4,34.4,37.43
526.7,1.2,-5.7,247.4,0.8,1023.4,668.8,5.8,38.6
211.29999999999998,140.5,9.3,212.6,-0.2,1071.6,898.6,194.3,41.72
503.4,-15.0,7.9,247.6,1.3,1036.7,660.7,281.8,42.13
263.5,235.1,12.0,244.1,1.2,1032.9,683.6,269.5,38.41
281.5,242.2,-1.0,242.7,0.2,1018.5,673.0,28.1,30.08
375.8,138.3,6.1,247.4,1.3,1030.7,684.0,90.7,37.72
504.6,-1.3,19.5,250.2,0.5,1030.3,669.2,98.2,42.23
269.4,241.4,9.7,244.5,-0.4,1042.0,685.2,188.8,36.25
360.6,31.3,6.1,245.7,-0.3,1015.5,732.5,98.2,50.46
434.7,51.7,8.9,243.9,1.1,1023.1,672.6,374.0,43.7
261.8,240.5,6.0,248.7,0.6,1036.7,664.7,361.6,39.0
409.6,8.0,19.6,241.2,1.2,1020.5,742.4,181.1,53.1
468.3,65.5,11.8,241.3,0.6,1047.7,660.5,82.8,41.54
389.5,9.3,4.9,210.9,0.8,1135.0,879.0,12.8,15.05
403.9,103.0,7.1,246.0,1.9,1029.4,686.8,190.9,40.76
