Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
T-Series,245000000,228000000000.0,Music,20082,IN,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2006.0,3,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
YouTube Movies,170000000,0.0,Film & Animation,1,US,7423.0,12.0,0.0,0.05,0.04,0.58,2006.0,3,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
MrBeast,166000000,28368841870.0,Entertainment,741,US,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,2012.0,2,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,966,US,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,2006.0,9,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
SET India,159000000,148000000000.0,Shows,116536,IN,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,2006.0,9,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ýýý Kids Diana Show,112000000,93247040539.0,People & Blogs,1111,US,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,2015.0,5,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
PewDiePie,111000000,29058044447.0,Gaming,4716,JP,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,2010.0,4,29.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
Like Nastya,106000000,90479060027.0,People & Blogs,493,RU,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,2016.0,1,14.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
Vlad and Niki,98900000,77180169894.0,Entertainment,574,US,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,2018.0,4,23.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Zee Music Company,96700000,57856289381.0,Music,8548,IN,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,2014.0,3,12.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
WWE,96000000,77428473662.0,Sports,70127,US,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,2007.0,5,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BLACKPINK,89800000,32144597566.0,People & Blogs,543,KR,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,2016.0,6,29.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Sony SAB,83000000,101000000000.0,Shows,71270,IN,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,2007.0,8,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
5-Minute Crafts,80100000,26236790209.0,Howto & Style,1,GB,6781.0,1.0,0.0,0.0,0.0,0.05,2020.0,7,27.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
BANGTANTV,75600000,20826993957.0,Music,2281,KR,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,2012.0,12,17.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Justin Bieber,71600000,30608119724.0,Music,249,CA,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,2007.0,1,15.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
HYBE LABELS,71300000,28634566938.0,Music,1337,KR,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,2008.0,6,4.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Zee TV,70500000,73139054467.0,Entertainment,129204,IN,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,2005.0,12,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,Education,2865,US,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,2011.0,12,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Canal KondZilla,66500000,36775585925.0,Music,2572,BR,7.0,447223000.0,0.0,0.0,0.0,0.0,2012.0,3,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,Education,633,IN,3.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,2013.0,2,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Shemaroo Filmi Gaane,65600000,28648024439.0,Music,8502,IN,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,2010.0,6,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Colors TV,64600000,61510906457.0,Shows,112915,IN,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,2008.0,6,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
T-Series Bhakti Sagar,61000000,29533230328.0,Music,13,IN,5744.0,10.0,0.0,0.04,0.03,0.48,2018.0,8,3.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Dude Perfect,59500000,16241549158.0,Sports,389,US,3.0,141200000.0,35300.0,564800.0,423600.0,6800000.0,2009.0,3,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Movieclips,59500000,59316472754.0,Film & Animation,39113,US,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,2006.0,4,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Tips Official,59300000,33431802698.0,Music,4741,IN,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,2007.0,5,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
El Reino Infantil,58400000,57271630846.0,Music,1510,AR,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,2011.0,6,2.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
Wave Music,58000000,40602020243.0,Music,19487,IN,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,2014.0,10,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Aaj Tak,57600000,25307753534.0,News & Politics,283775,IN,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,2009.0,8,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Sony Music India,57200000,28837144516.0,Music,3882,IN,13.0,259310000.0,64800.0,1000000.0,777900.0,12400000.0,2009.0,9,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
EminemMusic,56900000,27073872856.0,Music,156,US,14.0,260193000.0,65000.0,1000000.0,780600.0,12500000.0,2007.0,2,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Marshmello,56400000,14696003229.0,Entertainment,436,US,15.0,112100000.0,28000.0,448400.0,336300.0,5400000.0,2015.0,4,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
YRF,54600000,35302243691.0,Film & Animation,3707,IN,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,2006.0,6,7.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Ed Sheeran,53500000,30367676736.0,Music,383,GB,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,2006.0,8,8.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Infobells - Hindi,53300000,30516172739.0,Education,577,IN,4.0,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,2014.0,6,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Taylor Swift,52900000,29884657286.0,Music,216,US,19.0,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,2006.0,9,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Ariana Grande,52700000,24004842608.0,Music,147,US,20.0,160216000.0,40100.0,640900.0,480600.0,7700000.0,2007.0,1,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274.0,Education,847,US,5.0,266747000.0,66700.0,1100000.0,800200.0,12800000.0,2013.0,10,25.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
JuegaGerman,48100000,14631710289.0,Gaming,2052,CL,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,2013.0,5,19.0,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969
Billie Eilish,47900000,13626331061.0,Music,65,US,21.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,2013.0,2,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
